,CORR,SE,BE,CON
0,24.15146105042313,25.88871741593623,25.74313351691026,24.21668801673039
1,28.100622506780947,23.12757496395439,21.76173467322285,27.010067856041807
2,27.93794431136501,23.692633437017168,22.289197375442527,26.08022487617529
3,29.173448743747187,24.625642886740863,25.048591720313922,21.152316649198024
4,31.76854041545374,22.958659429105577,24.212687670997905,21.060112484442797
5,31.747612699548462,24.510696670139463,25.44386304450813,18.29782758580395
6,37.51539333851468,22.43954372121106,23.10202510673128,16.943037833543
7,37.75728936736499,22.7707343333165,25.157713833395768,14.31426246592275
8,44.47077493669982,20.78510038871651,22.80143361506367,11.942691059519998
9,45.47882142355547,20.60463358239699,20.524607717735847,13.391937276311689
10,49.04747636006389,19.846444799214037,21.648925457448108,9.45715338327397
11,50.06598116356075,19.581737255120498,19.593619122024673,10.758662459294088
12,50.975647573449635,17.225947104067494,21.055945271644884,10.742460050837986
13,51.92420750329065,17.388623841755592,20.449614742285764,10.237553912667984
14,53.54126985717003,16.664210084959567,20.222723714694993,9.571796343175407
15,56.66836332748688,16.88399054624913,19.215656397005656,7.23198972925832
16,60.106057284540405,16.577214692297808,16.495951983188082,6.8207760399736985
17,58.50066506624698,15.260374434294258,17.620660592528097,8.618299906930673
18,55.722381258398066,16.64503379554016,17.05220591783912,10.58037902822265
19,61.99634897435749,15.279144226886801,14.129810453762214,8.594696344993492
20,63.86758288328045,13.581790545036801,16.683477980681,5.867148591001742
21,66.59506564488697,12.102738547977143,14.961301049171555,6.34089475796434
22,68.87646122179503,11.419213691146583,15.126801040817126,4.57752404624128
23,73.93284609681177,8.396885923101365,13.560533841754049,4.109734138332803
