,Kx,FOx_STD,RMx_STD,RMk
0,1694,0.11133843240798866,0.13012246517117423,519
1,1694,0.15759524479906842,0.13446509566323014,540
2,1694,0.15100328423918621,0.12473389085437225,637
3,1674,0.14840242365876316,0.12198403845048862,688
4,1638,0.12639854401159292,0.1149445469836277,723
5,1596,0.12135108483421704,0.10830484373718388,725
6,1546,0.17246180018395507,0.10345790668757487,702
7,1498,0.17469280328071823,0.10878158468666925,685
8,1441,0.17819649635026277,0.10546335306711374,696
9,1372,0.13428034718873758,0.10027914059731506,650
10,1290,0.13093694163859923,0.10746532276405207,624
11,1200,0.13468779505699016,0.10664918875065145,571
12,1116,0.13025961047952225,0.10717697070692775,558
13,1036,0.1319246244832005,0.1030075278810439,509
14,943,0.12876909534526115,0.0981934154659235,478
15,860,0.12598379455815942,0.0992828444748181,437
16,778,0.1299695827222075,0.10456697314850076,379
17,710,0.13204909221790523,0.10581549542055256,354
18,629,0.12845418548022092,0.10605613338709725,306
19,554,0.1305023280628926,0.09595243171434262,277
20,478,0.12922384757923844,0.09191604895084653,237
21,397,0.13840507731810775,0.10350458664815226,194
22,315,0.14487857430096515,0.09496037610182469,146
23,183,0.17161995948343375,0.12811067515002292,70
